Date	St
8/1/07	0.273
8/2/07	0.27725
8/3/07	0.2865
8/4/07	0.2865
8/5/07	0.2865
8/6/07	0.2765
8/7/07	0.267
8/8/07	0.2635
8/9/07	0.2915
8/10/07	0.2815
8/11/07	0.2815
8/12/07	0.2815
8/13/07	0.2935
8/14/07	0.301
8/15/07	0.302
8/16/07	0.305
8/17/07	0.304
8/18/07	0.304
8/19/07	0.304
8/20/07	0.288
8/21/07	0.281
8/22/07	0.2865
8/23/07	0.3015
8/24/07	0.29
8/25/07	0.29
8/26/07	0.29
8/27/07	0.29
8/28/07	0.293
8/29/07	0.2765
8/30/07	0.269
8/31/07	0.26
9/1/07	0.26
9/2/07	0.26
9/3/07	0.2635
9/4/07	0.2675
9/5/07	0.2625
9/6/07	0.224
9/7/07	0.249
9/8/07	0.249
9/9/07	0.249
9/10/07	0.3395
9/11/07	0.3075
9/12/07	0.311
9/13/07	0.3325
9/14/07	0.3625
9/15/07	0.3625
9/16/07	0.3625
9/17/07	0.36425
9/18/07	0.372
9/19/07	0.375
9/20/07	0.35975
9/21/07	0.405
9/22/07	0.405
9/23/07	0.405
9/24/07	0.396
9/25/07	0.40425
9/26/07	0.383
9/27/07	0.3925
9/28/07	0.37
9/29/07	0.37
9/30/07	0.37
10/1/07	0.412
10/2/07	0.4185
10/3/07	0.355
10/4/07	0.351
10/5/07	0.355
10/6/07	0.355
10/7/07	0.355
10/8/07	0.35
10/9/07	0.3675
10/10/07	0.3815
10/11/07	0.4
10/12/07	0.365
10/13/07	0.365
10/14/07	0.365
10/15/07	0.3425
10/16/07	0.3975
10/17/07	0.435
10/18/07	0.443
10/19/07	0.4415
10/20/07	0.4415
10/21/07	0.4415
10/22/07	0.4845
10/23/07	0.475
10/24/07	0.485
10/25/07	0.486
10/26/07	0.4895
10/27/07	0.4895
10/28/07	0.4895
10/29/07	0.437
10/30/07	0.4315
10/31/07	0.3975
11/1/07	0.378
11/2/07	0.4515
11/3/07	0.4515
11/4/07	0.4515
11/5/07	0.4385
11/6/07	0.429
11/7/07	0.436
11/8/07	0.4375
11/9/07	0.495
11/10/07	0.495
11/11/07	0.495
11/12/07	0.5125
11/13/07	0.5245
11/14/07	0.5795
11/15/07	0.532
11/16/07	0.539
11/17/07	0.539
11/18/07	0.539
11/19/07	0.534
11/20/07	0.55
11/21/07	0.52
11/22/07	0.527
11/23/07	0.514
11/24/07	0.514
11/25/07	0.514
11/26/07	0.473
11/27/07	0.4795
11/28/07	0.4655
11/29/07	0.437
11/30/07	0.451
12/1/07	0.451
12/2/07	0.451
12/3/07	0.456
12/4/07	0.453
12/5/07	0.4275
12/6/07	0.45
12/7/07	0.498
12/8/07	0.498
12/9/07	0.498
12/10/07	0.523
12/11/07	0.5025
12/12/07	0.5225
12/13/07	0.5395
12/14/07	0.5855
12/15/07	0.5855
12/16/07	0.5855
12/17/07	0.5885
12/18/07	0.5835
12/19/07	0.53375
12/20/07	0.59
12/21/07	0.5175
12/22/07	0.5175
12/23/07	0.5175
12/24/07	0.42
12/25/07	0.42
12/26/07	0.42
12/27/07	0.4865
12/28/07	0.494
12/29/07	0.494
12/30/07	0.494
12/31/07	0.506
1/1/08	0.506
1/2/08	0.53725
1/3/08	0.5365
1/4/08	0.5305
1/5/08	0.5305
1/6/08	0.5305
1/7/08	0.5445
1/8/08	0.57
1/9/08	0.571
1/10/08	0.5725
1/11/08	0.5825
1/12/08	0.5825
1/13/08	0.5825
1/14/08	0.565
1/15/08	0.5675
1/16/08	0.5355
1/17/08	0.5075
1/18/08	0.5025
1/19/08	0.5025
1/20/08	0.5025
1/21/08	0.4905
1/22/08	0.493
1/23/08	0.51
1/24/08	0.5075
1/25/08	0.522
1/26/08	0.522
1/27/08	0.522
1/28/08	0.5325
1/29/08	0.5415
1/30/08	0.54
1/31/08	0.5385
2/1/08	0.504
2/2/08	0.504
2/3/08	0.504
2/4/08	0.4705
2/5/08	0.48
2/6/08	0.486
2/7/08	0.512
2/8/08	0.5055
2/9/08	0.5055
2/10/08	0.5055
2/11/08	0.4965
2/12/08	0.491
2/13/08	0.491
2/14/08	0.505
2/15/08	0.518
2/16/08	0.518
2/17/08	0.518
2/18/08	0.527
2/19/08	0.528
2/20/08	0.502
2/21/08	0.4945
2/22/08	0.505
2/23/08	0.505
2/24/08	0.505
2/25/08	0.521
2/26/08	0.514
2/27/08	0.518
2/28/08	0.5205
2/29/08	0.57
3/1/08	0.57
3/2/08	0.57
3/3/08	0.535
3/4/08	0.5305
3/5/08	0.52525
3/6/08	0.5385
3/7/08	0.5485
3/8/08	0.5485
3/9/08	0.5485
3/10/08	0.54
3/11/08	0.541
3/12/08	0.548
3/13/08	0.543
3/14/08	0.5455
3/15/08	0.5455
3/16/08	0.5455
3/17/08	0.5475
3/18/08	0.548
3/19/08	0.5455
3/20/08	0.547
3/21/08	0.547
3/22/08	0.547
3/23/08	0.547
3/24/08	0.547
3/25/08	0.542
3/26/08	0.543
3/27/08	0.5555
3/28/08	0.549
3/29/08	0.549
3/30/08	0.549
3/31/08	0.5855
4/1/08	0.5835
4/2/08	0.5825
4/3/08	0.5915
4/4/08	0.598
4/5/08	0.598
4/6/08	0.598
4/7/08	0.611
4/8/08	0.59
4/9/08	0.59
4/10/08	0.5975
4/11/08	0.6105
4/12/08	0.6105
4/13/08	0.6105
4/14/08	0.627
4/15/08	0.637
4/16/08	0.629
4/17/08	0.6285
4/18/08	0.606
4/19/08	0.606
4/20/08	0.606
4/21/08	0.625
4/22/08	0.6285
4/23/08	0.6475
4/24/08	0.69
4/25/08	0.6
4/26/08	0.6
4/27/08	0.6
4/28/08	0.642
4/29/08	0.6
4/30/08	0.635
5/1/08	0.585
5/2/08	0.5625
5/3/08	0.5625
5/4/08	0.5625
5/5/08	0.5625
5/6/08	0.591
5/7/08	0.567
5/8/08	0.5685
5/9/08	0.5715
5/10/08	0.5715
5/11/08	0.5715
5/12/08	0.584
5/13/08	0.583
5/14/08	0.5815
5/15/08	0.5865
5/16/08	0.606
5/17/08	0.606
5/18/08	0.606
5/19/08	0.586
5/20/08	0.582
5/21/08	0.5665
5/22/08	0.57
5/23/08	0.5765
5/24/08	0.5765
5/25/08	0.5765
5/26/08	0.5765
5/27/08	0.594
5/28/08	0.62
5/29/08	0.586
5/30/08	0.585
5/31/08	0.585
6/1/08	0.585
6/2/08	0.573
6/3/08	0.583
6/4/08	0.576
6/5/08	0.587
6/6/08	0.5975
6/7/08	0.5975
6/8/08	0.5975
6/9/08	0.623
6/10/08	0.62
6/11/08	0.636
6/12/08	0.675
6/13/08	0.6475
6/14/08	0.6475
6/15/08	0.6475
6/16/08	0.61975
6/17/08	0.6335
6/18/08	0.646
6/19/08	0.66
6/20/08	0.625
6/21/08	0.625
6/22/08	0.625
6/23/08	0.6465
6/24/08	0.653
6/25/08	0.6075
6/26/08	0.609
6/27/08	0.599
6/28/08	0.599
6/29/08	0.599
6/30/08	0.64
7/1/08	0.64
7/2/08	0.608
7/3/08	0.61
7/4/08	0.6495
7/5/08	0.601
7/6/08	0.601
7/7/08	0.645
7/8/08	0.6475
7/9/08	0.665
7/10/08	0.6475
7/11/08	0.6425
7/12/08	0.6505
7/13/08	0.6505
7/14/08	0.6605
7/15/08	0.635
7/16/08	0.6332
7/17/08	0.625
7/18/08	0.626
7/19/08	0.598
7/20/08	0.598
7/21/08	0.6075
7/22/08	0.619
7/23/08	0.63
7/24/08	0.645
7/25/08	0.62
7/26/08	0.5385
7/27/08	0.5385
7/28/08	0.5885
7/29/08	0.47
7/30/08	0.33
7/31/08	0.44
8/1/08	0.4
8/2/08	0.4
8/3/08	0.4
8/4/08	0.4
8/5/08	0.4
8/6/08	0.4
8/7/08	0.4
8/8/08	0.4
