,T,"F(0,T)",fn01,fn02,fn03
Oil(1m),0.083333333,21.05,0.5957,-0.0824,0.2160
Oil(2m),0.166666667,21.02,0.4308,-0.0353,-0.1614
Oil(3m),0.25,20.95,0.3368,-0.0156,-0.1330
Oil(6m),0.5,20.74,0.1641,0.0000,-0.0713
Oil(1y),1,20.36,0.0948,-0.0017,-0.0371
Oil(2y),2,20.11,0.0654,0.0021,-0.0270
Gas(1m),0.083333333,2.92,0.0746,0.2827,0.0177
Gas(2m),0.166666667,3.01,0.0647,0.2492,0.0112
Gas(3m),0.25,3.15,0.0583,0.2247,0.0087
Gas(6m),0.5,2.35,0.0478,0.1846,0.0031
Gas(1y),1,2.26,0.0397,0.1591,0.0000
Gas(2y),2,2.17,0.0302,0.1356,-0.0021
